congress,bill_number,url,date_enacted,word_count,type,sponsor,party,control,title,topic,time available
116,133,https://www.congress.gov/bill/116th-congress/house-bill/133/text?r=1&s=2&format=txt,12/27/20,950369,hr,"Rep. Cuellar, Henry [D-TX-28] ",d,mixed,"Consolidated Appropriations Act, 2021",appropriations,5 hours
116,1790,https://www.congress.gov/bill/116th-congress/senate-bill/1790/text?r=1&s=2&format=txt,12/20/19,478736,s,"Sen. Inhofe, James M. [R-OK] ",r,mixed,National Defense Authorization Act for Fiscal Year 2020,defense authorization,n/a
105,4328,https://www.congress.gov/bill/105th-congress/house-bill/4328/text?r=1&s=2&format=txt,10/21/98,429189,hr,"Rep. Wolf, Frank R. [R-VA-10] (",r,r,"Omnibus Consolidated and Emergency Supplemental Appropriations Act, 1999",appropriations,
114,2943,https://www.congress.gov/bill/114th-congress/senate-bill/2943/text?r=1&s=2&format=txt,12/23/16,420040,s,"Sen. McCain, John [R-AZ] ",r,r,National Defense Authorization Act for Fiscal Year 2017,defense authorization,
114,2029,https://www.congress.gov/bill/114th-congress/house-bill/2029/text?r=1&s=2&format=txt,12/18/15,411428,hr,"Rep. Dent, Charles W. [R-PA-15] ",r,r,"Consolidated Appropriations Act, 2016",appropriations,
115,1625,https://www.congress.gov/bill/115th-congress/house-bill/1625/text?r=1&s=2&format=txt,3/23/18,411050,hr,"Rep. Royce, Edward R. [R-CA-39] ",r,r,"Consolidated Appropriations Act, 2018",appropriations,
111,3590,https://www.congress.gov/bill/111th-congress/house-bill/3590/text?r=1&s=2&format=txt,3/23/10,395627,hr,"Rep. Rangel, Charles B. [D-NY-15]",d,d,Patient Protection and Affordable Care Act,other,
111,4173,https://www.congress.gov/bill/111th-congress/house-bill/4173/text?r=1&s=2&format=txt,7/21/10,374137,hr,"Rep. Frank, Barney [D-MA-4]",d,d,Dodd-Frank Wall Street Reform and Consumer Protection Act,other,
104,3610,https://www.congress.gov/bill/104th-congress/house-bill/3610/text?r=1&s=2&format=txt,9/30/96,347227,hr,"Rep. Young, C. W. Bill [R-FL-10] ",r,r,"Omnibus Consolidated Appropriations Act, 1997",appropriations,
109,3,https://www.congress.gov/bill/109th-congress/house-bill/3/text?r=1&s=2&format=txt,8/10/05,343979,hr,"Rep. Young, Don [R-AK-At Large] ",r,r,SAFETEA-LU,other,
115,244,https://www.congress.gov/bill/115th-congress/house-bill/244/text?r=1&s=2&format=txt,5/5/17,338988,hr,"Rep. Cook, Paul [R-CA-8]",r,r,"Consolidated Appropriations Act, 2017",appropriations,
