congress,bill_number,url
111,5014,https://www.congress.gov/bill/111th-congress/house-bill/5014/text?r=1&s=2&format=txt
111,5470,https://www.congress.gov/bill/111th-congress/house-bill/5470/text?r=1&s=2&format=txt
111,2004,https://www.congress.gov/bill/111th-congress/house-bill/2004/text?r=1&s=2&format=txt
111,3114,https://www.congress.gov/bill/111th-congress/house-bill/3114/text?r=1&s=2&format=txt
111,3326,https://www.congress.gov/bill/111th-congress/house-bill/3326/text?r=1&s=2&format=txt
111,3319,https://www.congress.gov/bill/111th-congress/house-bill/3319/text?r=1&s=2&format=txt
111,4938,https://www.congress.gov/bill/111th-congress/house-bill/4938/text?r=1&s=2&format=txt
111,6237,https://www.congress.gov/bill/111th-congress/house-bill/6237/text?r=1&s=2&format=txt
111,3548,https://www.congress.gov/bill/111th-congress/house-bill/3548/text?r=1&s=2&format=txt
111,5872,https://www.congress.gov/bill/111th-congress/house-bill/5872/text?r=1&s=2&format=txt
111,3386,https://www.congress.gov/bill/111th-congress/house-bill/3386/text?r=1&s=2&format=txt
111,1,https://www.congress.gov/bill/111th-congress/house-bill/1/text?r=1&s=2&format=txt
111,955,https://www.congress.gov/bill/111th-congress/house-bill/955/text?r=1&s=2&format=txt
111,5611,https://www.congress.gov/bill/111th-congress/house-bill/5611/text?r=1&s=2&format=txt
111,4505,https://www.congress.gov/bill/111th-congress/house-bill/4505/text?r=1&s=2&format=txt
111,1626,https://www.congress.gov/bill/111th-congress/house-bill/1626/text?r=1&s=2&format=txt
111,4337,https://www.congress.gov/bill/111th-congress/house-bill/4337/text?r=1&s=2&format=txt
111,1817,https://www.congress.gov/bill/111th-congress/house-bill/1817/text?r=1&s=2&format=txt
111,3788,https://www.congress.gov/bill/111th-congress/house-bill/3788/text?r=1&s=2&format=txt
111,3547,https://www.congress.gov/bill/111th-congress/house-bill/3547/text?r=1&s=2&format=txt
111,1687,https://www.congress.gov/bill/111th-congress/house-bill/1687/text?r=1&s=2&format=txt
111,6200,https://www.congress.gov/bill/111th-congress/house-bill/6200/text?r=1&s=2&format=txt
111,1243,https://www.congress.gov/bill/111th-congress/house-bill/1243/text?r=1&s=2&format=txt
111,3980,https://www.congress.gov/bill/111th-congress/house-bill/3980/text?r=1&s=2&format=txt
