congress,bill_number,url
104,175,https://www.congress.gov/bill/104th-congress/house-joint-resolution/175/text?r=1&s=2&format=txt
104,110,https://www.congress.gov/bill/104th-congress/house-joint-resolution/110/text?r=1&s=2&format=txt
104,111,https://www.congress.gov/bill/104th-congress/house-joint-resolution/111/text?r=1&s=2&format=txt
104,69,https://www.congress.gov/bill/104th-congress/house-joint-resolution/69/text?r=1&s=2&format=txt
104,134,https://www.congress.gov/bill/104th-congress/house-joint-resolution/134/text?r=1&s=2&format=txt
104,193,https://www.congress.gov/bill/104th-congress/house-joint-resolution/193/text?r=1&s=2&format=txt
104,194,https://www.congress.gov/bill/104th-congress/house-joint-resolution/194/text?r=1&s=2&format=txt
104,168,https://www.congress.gov/bill/104th-congress/house-joint-resolution/168/text?r=1&s=2&format=txt
104,166,https://www.congress.gov/bill/104th-congress/house-joint-resolution/166/text?r=1&s=2&format=txt
104,122,https://www.congress.gov/bill/104th-congress/house-joint-resolution/122/text?r=1&s=2&format=txt
104,112,https://www.congress.gov/bill/104th-congress/house-joint-resolution/112/text?r=1&s=2&format=txt
104,123,https://www.congress.gov/bill/104th-congress/house-joint-resolution/123/text?r=1&s=2&format=txt
104,170,https://www.congress.gov/bill/104th-congress/house-joint-resolution/170/text?r=1&s=2&format=txt
104,78,https://www.congress.gov/bill/104th-congress/house-joint-resolution/78/text?r=1&s=2&format=txt
104,163,https://www.congress.gov/bill/104th-congress/house-joint-resolution/163/text?r=1&s=2&format=txt
104,197,https://www.congress.gov/bill/104th-congress/house-joint-resolution/197/text?r=1&s=2&format=txt
104,108,https://www.congress.gov/bill/104th-congress/house-joint-resolution/108/text?r=1&s=2&format=txt
104,153,https://www.congress.gov/bill/104th-congress/house-joint-resolution/153/text?r=1&s=2&format=txt
104,198,https://www.congress.gov/bill/104th-congress/house-joint-resolution/198/text?r=1&s=2&format=txt
104,165,https://www.congress.gov/bill/104th-congress/house-joint-resolution/165/text?r=1&s=2&format=txt
104,191,https://www.congress.gov/bill/104th-congress/house-joint-resolution/191/text?r=1&s=2&format=txt
104,136,https://www.congress.gov/bill/104th-congress/house-joint-resolution/136/text?r=1&s=2&format=txt
105,128,https://www.congress.gov/bill/105th-congress/house-joint-resolution/128/text?r=1&s=2&format=txt
105,94,https://www.congress.gov/bill/105th-congress/house-joint-resolution/94/text?r=1&s=2&format=txt
105,95,https://www.congress.gov/bill/105th-congress/house-joint-resolution/95/text?r=1&s=2&format=txt
105,92,https://www.congress.gov/bill/105th-congress/house-joint-resolution/92/text?r=1&s=2&format=txt
105,32,https://www.congress.gov/bill/105th-congress/house-joint-resolution/32/text?r=1&s=2&format=txt
105,75,https://www.congress.gov/bill/105th-congress/house-joint-resolution/75/text?r=1&s=2&format=txt
105,105,https://www.congress.gov/bill/105th-congress/house-joint-resolution/105/text?r=1&s=2&format=txt
105,102,https://www.congress.gov/bill/105th-congress/house-joint-resolution/102/text?r=1&s=2&format=txt
105,134,https://www.congress.gov/bill/105th-congress/house-joint-resolution/134/text?r=1&s=2&format=txt
105,133,https://www.congress.gov/bill/105th-congress/house-joint-resolution/133/text?r=1&s=2&format=txt
105,135,https://www.congress.gov/bill/105th-congress/house-joint-resolution/135/text?r=1&s=2&format=txt
105,103,https://www.congress.gov/bill/105th-congress/house-joint-resolution/103/text?r=1&s=2&format=txt
105,104,https://www.congress.gov/bill/105th-congress/house-joint-resolution/104/text?r=1&s=2&format=txt
105,113,https://www.congress.gov/bill/105th-congress/house-joint-resolution/113/text?r=1&s=2&format=txt
105,97,https://www.congress.gov/bill/105th-congress/house-joint-resolution/97/text?r=1&s=2&format=txt
105,90,https://www.congress.gov/bill/105th-congress/house-joint-resolution/90/text?r=1&s=2&format=txt
105,36,https://www.congress.gov/bill/105th-congress/house-joint-resolution/36/text?r=1&s=2&format=txt
105,91,https://www.congress.gov/bill/105th-congress/house-joint-resolution/91/text?r=1&s=2&format=txt
105,96,https://www.congress.gov/bill/105th-congress/house-joint-resolution/96/text?r=1&s=2&format=txt
105,25,https://www.congress.gov/bill/105th-congress/house-joint-resolution/25/text?r=1&s=2&format=txt
105,101,https://www.congress.gov/bill/105th-congress/house-joint-resolution/101/text?r=1&s=2&format=txt
105,106,https://www.congress.gov/bill/105th-congress/house-joint-resolution/106/text?r=1&s=2&format=txt
105,137,https://www.congress.gov/bill/105th-congress/house-joint-resolution/137/text?r=1&s=2&format=txt
105,136,https://www.congress.gov/bill/105th-congress/house-joint-resolution/136/text?r=1&s=2&format=txt
105,131,https://www.congress.gov/bill/105th-congress/house-joint-resolution/131/text?r=1&s=2&format=txt
105,138,https://www.congress.gov/bill/105th-congress/house-joint-resolution/138/text?r=1&s=2&format=txt
106,126,https://www.congress.gov/bill/106th-congress/house-joint-resolution/126/text?r=1&s=2&format=txt
106,119,https://www.congress.gov/bill/106th-congress/house-joint-resolution/119/text?r=1&s=2&format=txt
106,121,https://www.congress.gov/bill/106th-congress/house-joint-resolution/121/text?r=1&s=2&format=txt
106,117,https://www.congress.gov/bill/106th-congress/house-joint-resolution/117/text?r=1&s=2&format=txt
106,128,https://www.congress.gov/bill/106th-congress/house-joint-resolution/128/text?r=1&s=2&format=txt
106,110,https://www.congress.gov/bill/106th-congress/house-joint-resolution/110/text?r=1&s=2&format=txt
106,111,https://www.congress.gov/bill/106th-congress/house-joint-resolution/111/text?r=1&s=2&format=txt
106,116,https://www.congress.gov/bill/106th-congress/house-joint-resolution/116/text?r=1&s=2&format=txt
106,129,https://www.congress.gov/bill/106th-congress/house-joint-resolution/129/text?r=1&s=2&format=txt
106,120,https://www.congress.gov/bill/106th-congress/house-joint-resolution/120/text?r=1&s=2&format=txt
106,127,https://www.congress.gov/bill/106th-congress/house-joint-resolution/127/text?r=1&s=2&format=txt
106,118,https://www.congress.gov/bill/106th-congress/house-joint-resolution/118/text?r=1&s=2&format=txt
106,34,https://www.congress.gov/bill/106th-congress/house-joint-resolution/34/text?r=1&s=2&format=txt
106,68,https://www.congress.gov/bill/106th-congress/house-joint-resolution/68/text?r=1&s=2&format=txt
106,26,https://www.congress.gov/bill/106th-congress/house-joint-resolution/26/text?r=1&s=2&format=txt
106,28,https://www.congress.gov/bill/106th-congress/house-joint-resolution/28/text?r=1&s=2&format=txt
106,75,https://www.congress.gov/bill/106th-congress/house-joint-resolution/75/text?r=1&s=2&format=txt
106,72,https://www.congress.gov/bill/106th-congress/house-joint-resolution/72/text?r=1&s=2&format=txt
106,86,https://www.congress.gov/bill/106th-congress/house-joint-resolution/86/text?r=1&s=2&format=txt
106,27,https://www.congress.gov/bill/106th-congress/house-joint-resolution/27/text?r=1&s=2&format=txt
106,73,https://www.congress.gov/bill/106th-congress/house-joint-resolution/73/text?r=1&s=2&format=txt
106,80,https://www.congress.gov/bill/106th-congress/house-joint-resolution/80/text?r=1&s=2&format=txt
106,102,https://www.congress.gov/bill/106th-congress/house-joint-resolution/102/text?r=1&s=2&format=txt
106,133,https://www.congress.gov/bill/106th-congress/house-joint-resolution/133/text?r=1&s=2&format=txt
106,122,https://www.congress.gov/bill/106th-congress/house-joint-resolution/122/text?r=1&s=2&format=txt
106,125,https://www.congress.gov/bill/106th-congress/house-joint-resolution/125/text?r=1&s=2&format=txt
106,114,https://www.congress.gov/bill/106th-congress/house-joint-resolution/114/text?r=1&s=2&format=txt
106,115,https://www.congress.gov/bill/106th-congress/house-joint-resolution/115/text?r=1&s=2&format=txt
106,124,https://www.congress.gov/bill/106th-congress/house-joint-resolution/124/text?r=1&s=2&format=txt
106,123,https://www.congress.gov/bill/106th-congress/house-joint-resolution/123/text?r=1&s=2&format=txt
106,54,https://www.congress.gov/bill/106th-congress/house-joint-resolution/54/text?r=1&s=2&format=txt
106,65,https://www.congress.gov/bill/106th-congress/house-joint-resolution/65/text?r=1&s=2&format=txt
106,62,https://www.congress.gov/bill/106th-congress/house-joint-resolution/62/text?r=1&s=2&format=txt
106,78,https://www.congress.gov/bill/106th-congress/house-joint-resolution/78/text?r=1&s=2&format=txt
106,71,https://www.congress.gov/bill/106th-congress/house-joint-resolution/71/text?r=1&s=2&format=txt
106,85,https://www.congress.gov/bill/106th-congress/house-joint-resolution/85/text?r=1&s=2&format=txt
106,76,https://www.congress.gov/bill/106th-congress/house-joint-resolution/76/text?r=1&s=2&format=txt
106,83,https://www.congress.gov/bill/106th-congress/house-joint-resolution/83/text?r=1&s=2&format=txt
106,84,https://www.congress.gov/bill/106th-congress/house-joint-resolution/84/text?r=1&s=2&format=txt
106,46,https://www.congress.gov/bill/106th-congress/house-joint-resolution/46/text?r=1&s=2&format=txt
106,101,https://www.congress.gov/bill/106th-congress/house-joint-resolution/101/text?r=1&s=2&format=txt
106,109,https://www.congress.gov/bill/106th-congress/house-joint-resolution/109/text?r=1&s=2&format=txt
107,117,https://www.congress.gov/bill/107th-congress/house-joint-resolution/117/text?r=1&s=2&format=txt
107,111,https://www.congress.gov/bill/107th-congress/house-joint-resolution/111/text?r=1&s=2&format=txt
107,69,https://www.congress.gov/bill/107th-congress/house-joint-resolution/69/text?r=1&s=2&format=txt
107,51,https://www.congress.gov/bill/107th-congress/house-joint-resolution/51/text?r=1&s=2&format=txt
107,68,https://www.congress.gov/bill/107th-congress/house-joint-resolution/68/text?r=1&s=2&format=txt
107,19,https://www.congress.gov/bill/107th-congress/house-joint-resolution/19/text?r=1&s=2&format=txt
107,87,https://www.congress.gov/bill/107th-congress/house-joint-resolution/87/text?r=1&s=2&format=txt
107,74,https://www.congress.gov/bill/107th-congress/house-joint-resolution/74/text?r=1&s=2&format=txt
107,80,https://www.congress.gov/bill/107th-congress/house-joint-resolution/80/text?r=1&s=2&format=txt
