congress,bill_number,url
104,2198,https://www.congress.gov/bill/104th-congress/senate-bill/2198/text?r=1&s=2&format=txt
104,2153,https://www.congress.gov/bill/104th-congress/senate-bill/2153/text?r=1&s=2&format=txt
104,1970,https://www.congress.gov/bill/104th-congress/senate-bill/1970/text?r=1&s=2&format=txt
104,1341,https://www.congress.gov/bill/104th-congress/senate-bill/1341/text?r=1&s=2&format=txt
104,1111,https://www.congress.gov/bill/104th-congress/senate-bill/1111/text?r=1&s=2&format=txt
104,2100,https://www.congress.gov/bill/104th-congress/senate-bill/2100/text?r=1&s=2&format=txt
104,377,https://www.congress.gov/bill/104th-congress/senate-bill/377/text?r=1&s=2&format=txt
104,2,https://www.congress.gov/bill/104th-congress/senate-bill/2/text?r=1&s=2&format=txt
104,2197,https://www.congress.gov/bill/104th-congress/senate-bill/2197/text?r=1&s=2&format=txt
104,349,https://www.congress.gov/bill/104th-congress/senate-bill/349/text?r=1&s=2&format=txt
104,2101,https://www.congress.gov/bill/104th-congress/senate-bill/2101/text?r=1&s=2&format=txt
104,4,https://www.congress.gov/bill/104th-congress/senate-bill/4/text?r=1&s=2&format=txt
104,1322,https://www.congress.gov/bill/104th-congress/senate-bill/1322/text?r=1&s=2&format=txt
104,464,https://www.congress.gov/bill/104th-congress/senate-bill/464/text?r=1&s=2&format=txt
104,895,https://www.congress.gov/bill/104th-congress/senate-bill/895/text?r=1&s=2&format=txt
104,257,https://www.congress.gov/bill/104th-congress/senate-bill/257/text?r=1&s=2&format=txt
104,268,https://www.congress.gov/bill/104th-congress/senate-bill/268/text?r=1&s=2&format=txt
104,1669,https://www.congress.gov/bill/104th-congress/senate-bill/1669/text?r=1&s=2&format=txt
104,1834,https://www.congress.gov/bill/104th-congress/senate-bill/1834/text?r=1&s=2&format=txt
104,1465,https://www.congress.gov/bill/104th-congress/senate-bill/1465/text?r=1&s=2&format=txt
104,1802,https://www.congress.gov/bill/104th-congress/senate-bill/1802/text?r=1&s=2&format=txt
104,273,https://www.congress.gov/bill/104th-congress/senate-bill/273/text?r=1&s=2&format=txt
104,1675,https://www.congress.gov/bill/104th-congress/senate-bill/1675/text?r=1&s=2&format=txt
104,440,https://www.congress.gov/bill/104th-congress/senate-bill/440/text?r=1&s=2&format=txt
104,811,https://www.congress.gov/bill/104th-congress/senate-bill/811/text?r=1&s=2&format=txt
104,227,https://www.congress.gov/bill/104th-congress/senate-bill/227/text?r=1&s=2&format=txt
104,1887,https://www.congress.gov/bill/104th-congress/senate-bill/1887/text?r=1&s=2&format=txt
104,244,https://www.congress.gov/bill/104th-congress/senate-bill/244/text?r=1&s=2&format=txt
104,441,https://www.congress.gov/bill/104th-congress/senate-bill/441/text?r=1&s=2&format=txt
104,1931,https://www.congress.gov/bill/104th-congress/senate-bill/1931/text?r=1&s=2&format=txt
104,533,https://www.congress.gov/bill/104th-congress/senate-bill/533/text?r=1&s=2&format=txt
104,962,https://www.congress.gov/bill/104th-congress/senate-bill/962/text?r=1&s=2&format=txt
104,965,https://www.congress.gov/bill/104th-congress/senate-bill/965/text?r=1&s=2&format=txt
104,790,https://www.congress.gov/bill/104th-congress/senate-bill/790/text?r=1&s=2&format=txt
104,2183,https://www.congress.gov/bill/104th-congress/senate-bill/2183/text?r=1&s=2&format=txt
104,1965,https://www.congress.gov/bill/104th-congress/senate-bill/1965/text?r=1&s=2&format=txt
104,1505,https://www.congress.gov/bill/104th-congress/senate-bill/1505/text?r=1&s=2&format=txt
104,532,https://www.congress.gov/bill/104th-congress/senate-bill/532/text?r=1&s=2&format=txt
104,1194,https://www.congress.gov/bill/104th-congress/senate-bill/1194/text?r=1&s=2&format=txt
104,342,https://www.congress.gov/bill/104th-congress/senate-bill/342/text?r=1&s=2&format=txt
104,1,https://www.congress.gov/bill/104th-congress/senate-bill/1/text?r=1&s=2&format=txt
104,1316,https://www.congress.gov/bill/104th-congress/senate-bill/1316/text?r=1&s=2&format=txt
104,1124,https://www.congress.gov/bill/104th-congress/senate-bill/1124/text?r=1&s=2&format=txt
104,1973,https://www.congress.gov/bill/104th-congress/senate-bill/1973/text?r=1&s=2&format=txt
104,39,https://www.congress.gov/bill/104th-congress/senate-bill/39/text?r=1&s=2&format=txt
104,1328,https://www.congress.gov/bill/104th-congress/senate-bill/1328/text?r=1&s=2&format=txt
104,523,https://www.congress.gov/bill/104th-congress/senate-bill/523/text?r=1&s=2&format=txt
104,178,https://www.congress.gov/bill/104th-congress/senate-bill/178/text?r=1&s=2&format=txt
104,1579,https://www.congress.gov/bill/104th-congress/senate-bill/1579/text?r=1&s=2&format=txt
104,1577,https://www.congress.gov/bill/104th-congress/senate-bill/1577/text?r=1&s=2&format=txt
104,1711,https://www.congress.gov/bill/104th-congress/senate-bill/1711/text?r=1&s=2&format=txt
104,919,https://www.congress.gov/bill/104th-congress/senate-bill/919/text?r=1&s=2&format=txt
104,1467,https://www.congress.gov/bill/104th-congress/senate-bill/1467/text?r=1&s=2&format=txt
104,1004,https://www.congress.gov/bill/104th-congress/senate-bill/1004/text?r=1&s=2&format=txt
104,1494,https://www.congress.gov/bill/104th-congress/senate-bill/1494/text?r=1&s=2&format=txt
104,652,https://www.congress.gov/bill/104th-congress/senate-bill/652/text?r=1&s=2&format=txt
104,1254,https://www.congress.gov/bill/104th-congress/senate-bill/1254/text?r=1&s=2&format=txt
104,2085,https://www.congress.gov/bill/104th-congress/senate-bill/2085/text?r=1&s=2&format=txt
104,457,https://www.congress.gov/bill/104th-congress/senate-bill/457/text?r=1&s=2&format=txt
104,1899,https://www.congress.gov/bill/104th-congress/senate-bill/1899/text?r=1&s=2&format=txt
104,2078,https://www.congress.gov/bill/104th-congress/senate-bill/2078/text?r=1&s=2&format=txt
