congress,bill_number,url,word_count
104,20,https://www.congress.gov/bill/104th-congress/senate-joint-resolution/20/text?r=1&s=2&format=txt,2618.0
104,38,https://www.congress.gov/bill/104th-congress/senate-joint-resolution/38/text?r=1&s=2&format=txt,1345.0
104,53,https://www.congress.gov/bill/104th-congress/senate-joint-resolution/53/text?r=1&s=2&format=txt,297.0
104,64,https://www.congress.gov/bill/104th-congress/senate-joint-resolution/64/text?r=1&s=2&format=txt,452.0
105,5,https://www.congress.gov/bill/105th-congress/senate-joint-resolution/5/text?r=1&s=2&format=txt,350.0
105,29,https://www.congress.gov/bill/105th-congress/senate-joint-resolution/29/text?r=1&s=2&format=txt,453.0
105,35,https://www.congress.gov/bill/105th-congress/senate-joint-resolution/35/text?r=1&s=2&format=txt,1161.0
105,39,https://www.congress.gov/bill/105th-congress/senate-joint-resolution/39/text?r=1&s=2&format=txt,211.0
105,51,https://www.congress.gov/bill/105th-congress/senate-joint-resolution/51/text?r=1&s=2&format=txt,1576.0
105,54,https://www.congress.gov/bill/105th-congress/senate-joint-resolution/54/text?r=1&s=2&format=txt,1495.0
105,58,https://www.congress.gov/bill/105th-congress/senate-joint-resolution/58/text?r=1&s=2&format=txt,487.0
106,40,https://www.congress.gov/bill/106th-congress/senate-joint-resolution/40/text?r=1&s=2&format=txt,175.0
106,42,https://www.congress.gov/bill/106th-congress/senate-joint-resolution/42/text?r=1&s=2&format=txt,173.0
106,43,https://www.congress.gov/bill/106th-congress/senate-joint-resolution/43/text?r=1&s=2&format=txt,330.0
106,44,https://www.congress.gov/bill/106th-congress/senate-joint-resolution/44/text?r=1&s=2&format=txt,440.0
107,6,https://www.congress.gov/bill/107th-congress/senate-joint-resolution/6/text?r=1&s=2&format=txt,139.0
107,13,https://www.congress.gov/bill/107th-congress/senate-joint-resolution/13/text?r=1&s=2&format=txt,416.0
107,19,https://www.congress.gov/bill/107th-congress/senate-joint-resolution/19/text?r=1&s=2&format=txt,168.0
107,20,https://www.congress.gov/bill/107th-congress/senate-joint-resolution/20/text?r=1&s=2&format=txt,181.0
107,22,https://www.congress.gov/bill/107th-congress/senate-joint-resolution/22/text?r=1&s=2&format=txt,499.0
107,23,https://www.congress.gov/bill/107th-congress/senate-joint-resolution/23/text?r=1&s=2&format=txt,387.0
107,26,https://www.congress.gov/bill/107th-congress/senate-joint-resolution/26/text?r=1&s=2&format=txt,178.0
107,32,https://www.congress.gov/bill/107th-congress/senate-joint-resolution/32/text?r=1&s=2&format=txt,645.0
107,53,https://www.congress.gov/bill/107th-congress/senate-joint-resolution/53/text?r=1&s=2&format=txt,102.0
108,8,https://www.congress.gov/bill/108th-congress/senate-joint-resolution/8/text?r=1&s=2&format=txt,586.0
108,18,https://www.congress.gov/bill/108th-congress/senate-joint-resolution/18/text?r=1&s=2&format=txt,486.0
108,22,https://www.congress.gov/bill/108th-congress/senate-joint-resolution/22/text?r=1&s=2&format=txt,336.0
108,28,https://www.congress.gov/bill/108th-congress/senate-joint-resolution/28/text?r=1&s=2&format=txt,340.0
108,38,https://www.congress.gov/bill/108th-congress/senate-joint-resolution/38/text?r=1&s=2&format=txt,164.0
108,41,https://www.congress.gov/bill/108th-congress/senate-joint-resolution/41/text?r=1&s=2&format=txt,298.0
109,28,https://www.congress.gov/bill/109th-congress/senate-joint-resolution/28/text?r=1&s=2&format=txt,293.0
109,40,https://www.congress.gov/bill/109th-congress/senate-joint-resolution/40/text?r=1&s=2&format=txt,196.0
110,7,https://www.congress.gov/bill/110th-congress/senate-joint-resolution/7/text?r=1&s=2&format=txt,162.0
110,8,https://www.congress.gov/bill/110th-congress/senate-joint-resolution/8/text?r=1&s=2&format=txt,160.0
110,13,https://www.congress.gov/bill/110th-congress/senate-joint-resolution/13/text?r=1&s=2&format=txt,2236.0
110,17,https://www.congress.gov/bill/110th-congress/senate-joint-resolution/17/text?r=1&s=2&format=txt,766.0
110,25,https://www.congress.gov/bill/110th-congress/senate-joint-resolution/25/text?r=1&s=2&format=txt,168.0
110,35,https://www.congress.gov/bill/110th-congress/senate-joint-resolution/35/text?r=1&s=2&format=txt,175.0
110,45,https://www.congress.gov/bill/110th-congress/senate-joint-resolution/45/text?r=1&s=2&format=txt,12052.0
110,46,https://www.congress.gov/bill/110th-congress/senate-joint-resolution/46/text?r=1&s=2&format=txt,523.0
111,3,https://www.congress.gov/bill/111th-congress/senate-joint-resolution/3/text?r=1&s=2&format=txt,534.0
111,8,https://www.congress.gov/bill/111th-congress/senate-joint-resolution/8/text?r=1&s=2&format=txt,167.0
111,9,https://www.congress.gov/bill/111th-congress/senate-joint-resolution/9/text?r=1&s=2&format=txt,171.0
111,19,https://www.congress.gov/bill/111th-congress/senate-joint-resolution/19/text?r=1&s=2&format=txt,1320.0
111,25,https://www.congress.gov/bill/111th-congress/senate-joint-resolution/25/text?r=1&s=2&format=txt,590.0
111,32,https://www.congress.gov/bill/111th-congress/senate-joint-resolution/32/text?r=1&s=2&format=txt,773.0
111,33,https://www.congress.gov/bill/111th-congress/senate-joint-resolution/33/text?r=1&s=2&format=txt,758.0
111,40,https://www.congress.gov/bill/111th-congress/senate-joint-resolution/40/text?r=1&s=2&format=txt,104.0
112,7,https://www.congress.gov/bill/112th-congress/senate-joint-resolution/7/text?r=1&s=2&format=txt,156.0
112,8,https://www.congress.gov/bill/112th-congress/senate-joint-resolution/8/text?r=1&s=2&format=txt,164.0
112,9,https://www.congress.gov/bill/112th-congress/senate-joint-resolution/9/text?r=1&s=2&format=txt,158.0
112,22,https://www.congress.gov/bill/112th-congress/senate-joint-resolution/22/text?r=1&s=2&format=txt,316.0
112,44,https://www.congress.gov/bill/112th-congress/senate-joint-resolution/44/text?r=1&s=2&format=txt,2080.0
112,49,https://www.congress.gov/bill/112th-congress/senate-joint-resolution/49/text?r=1&s=2&format=txt,181.0
113,28,https://www.congress.gov/bill/113th-congress/senate-joint-resolution/28/text?r=1&s=2&format=txt,185.0
113,29,https://www.congress.gov/bill/113th-congress/senate-joint-resolution/29/text?r=1&s=2&format=txt,189.0
113,32,https://www.congress.gov/bill/113th-congress/senate-joint-resolution/32/text?r=1&s=2&format=txt,181.0
113,40,https://www.congress.gov/bill/113th-congress/senate-joint-resolution/40/text?r=1&s=2&format=txt,172.0
115,1,https://www.congress.gov/bill/115th-congress/senate-joint-resolution/1/text?r=1&s=2&format=txt,377.0
115,30,https://www.congress.gov/bill/115th-congress/senate-joint-resolution/30/text?r=1&s=2&format=txt,175.0
115,34,https://www.congress.gov/bill/115th-congress/senate-joint-resolution/34/text?r=1&s=2&format=txt,144.0
115,35,https://www.congress.gov/bill/115th-congress/senate-joint-resolution/35/text?r=1&s=2&format=txt,180.0
115,36,https://www.congress.gov/bill/115th-congress/senate-joint-resolution/36/text?r=1&s=2&format=txt,186.0
115,49,https://www.congress.gov/bill/115th-congress/senate-joint-resolution/49/text?r=1&s=2&format=txt,773.0
115,57,https://www.congress.gov/bill/115th-congress/senate-joint-resolution/57/text?r=1&s=2&format=txt,187.0
115,60,https://www.congress.gov/bill/115th-congress/senate-joint-resolution/60/text?r=1&s=2&format=txt,173.0
116,65,https://www.congress.gov/bill/116th-congress/senate-joint-resolution/65/text?r=1&s=2&format=txt,175.0
116,66,https://www.congress.gov/bill/116th-congress/senate-joint-resolution/66/text?r=1&s=2&format=txt,170.0
116,67,https://www.congress.gov/bill/116th-congress/senate-joint-resolution/67/text?r=1&s=2&format=txt,176.0
