congress,bill_number,url
104,20,https://www.congress.gov/bill/104th-congress/senate-joint-resolution/20/text?r=1&s=2&format=txt
104,64,https://www.congress.gov/bill/104th-congress/senate-joint-resolution/64/text?r=1&s=2&format=txt
104,38,https://www.congress.gov/bill/104th-congress/senate-joint-resolution/38/text?r=1&s=2&format=txt
104,53,https://www.congress.gov/bill/104th-congress/senate-joint-resolution/53/text?r=1&s=2&format=txt
105,58,https://www.congress.gov/bill/105th-congress/senate-joint-resolution/58/text?r=1&s=2&format=txt
105,51,https://www.congress.gov/bill/105th-congress/senate-joint-resolution/51/text?r=1&s=2&format=txt
105,35,https://www.congress.gov/bill/105th-congress/senate-joint-resolution/35/text?r=1&s=2&format=txt
105,29,https://www.congress.gov/bill/105th-congress/senate-joint-resolution/29/text?r=1&s=2&format=txt
105,39,https://www.congress.gov/bill/105th-congress/senate-joint-resolution/39/text?r=1&s=2&format=txt
105,5,https://www.congress.gov/bill/105th-congress/senate-joint-resolution/5/text?r=1&s=2&format=txt
105,54,https://www.congress.gov/bill/105th-congress/senate-joint-resolution/54/text?r=1&s=2&format=txt
106,43,https://www.congress.gov/bill/106th-congress/senate-joint-resolution/43/text?r=1&s=2&format=txt
106,44,https://www.congress.gov/bill/106th-congress/senate-joint-resolution/44/text?r=1&s=2&format=txt
106,42,https://www.congress.gov/bill/106th-congress/senate-joint-resolution/42/text?r=1&s=2&format=txt
106,40,https://www.congress.gov/bill/106th-congress/senate-joint-resolution/40/text?r=1&s=2&format=txt
107,32,https://www.congress.gov/bill/107th-congress/senate-joint-resolution/32/text?r=1&s=2&format=txt
107,6,https://www.congress.gov/bill/107th-congress/senate-joint-resolution/6/text?r=1&s=2&format=txt
107,26,https://www.congress.gov/bill/107th-congress/senate-joint-resolution/26/text?r=1&s=2&format=txt
107,19,https://www.congress.gov/bill/107th-congress/senate-joint-resolution/19/text?r=1&s=2&format=txt
107,20,https://www.congress.gov/bill/107th-congress/senate-joint-resolution/20/text?r=1&s=2&format=txt
107,53,https://www.congress.gov/bill/107th-congress/senate-joint-resolution/53/text?r=1&s=2&format=txt
107,22,https://www.congress.gov/bill/107th-congress/senate-joint-resolution/22/text?r=1&s=2&format=txt
